Country,Season,Gold,Silver,Bronze,Total
Afghanistan,Summer,0,0,2,2
Afghanistan,Winter,0,0,0,0
Algeria,Summer,5,2,8,15
Algeria,Winter,0,0,0,0
Argentina,Summer,18,24,28,70
Argentina,Winter,0,0,0,0
Armenia,Summer,1,2,9,12
Armenia,Winter,0,0,0,0
Australasia,Summer,3,4,5,12
Australasia,Winter,0,0,0,0
Australia,Summer,139,152,177,468
Australia,Winter,5,3,4,12
Austria,Summer,18,33,35,86
Austria,Winter,59,78,81,218
Azerbaijan,Summer,6,5,15,26
Azerbaijan,Winter,0,0,0,0
Bahamas,Summer,5,2,5,12
Bahamas,Winter,0,0,0,0
Bahrain,Summer,0,0,1,1
Bahrain,Winter,0,0,0,0
Barbados,Summer,0,0,1,1
Barbados,Winter,0,0,0,0
Belarus,Summer,12,24,39,75
Belarus,Winter,6,4,5,15
Belgium,Summer,37,52,53,142
Belgium,Winter,1,1,3,5
Bermuda,Summer,0,0,1,1
Bermuda,Winter,0,0,0,0
Bohemia,Summer,0,1,3,4
Bohemia,Winter,0,0,0,0
Botswana,Summer,0,1,0,1
Botswana,Winter,0,0,0,0
Brazil,Summer,23,30,55,108
Brazil,Winter,0,0,0,0
British West Indies,Summer,0,0,2,2
British West Indies,Winter,0,0,0,0
Bulgaria,Summer,51,85,78,214
Bulgaria,Winter,1,2,3,6
Burundi,Summer,1,0,0,1
Burundi,Winter,0,0,0,0
Cameroon,Summer,3,1,1,5
Cameroon,Winter,0,0,0,0
Canada,Summer,59,99,121,279
Canada,Winter,62,56,52,170
Chile,Summer,2,7,4,13
Chile,Winter,0,0,0,0
China,Summer,201,146,126,473
China,Winter,12,22,19,53
Colombia,Summer,2,6,11,19
Colombia,Winter,0,0,0,0
Costa Rica,Summer,1,1,2,4
Costa Rica,Winter,0,0,0,0
Ivory Coast,Summer,0,1,0,1
Ivory Coast,Winter,0,0,0,0
Croatia,Summer,6,7,10,23
Croatia,Winter,4,6,1,11
Cuba,Summer,72,67,70,209
Cuba,Winter,0,0,0,0
Cyprus,Summer,0,1,0,1
Cyprus,Winter,0,0,0,0
Czech Republic,Summer,14,15,15,44
Czech Republic,Winter,7,9,8,24
Czechoslovakia,Summer,49,49,45,143
Czechoslovakia,Winter,2,8,15,25
Denmark,Summer,43,68,68,179
Denmark,Winter,0,1,0,1
Djibouti,Summer,0,0,1,1
Djibouti,Winter,0,0,0,0
Dominican Republic,Summer,3,2,1,6
Dominican Republic,Winter,0,0,0,0
Ecuador,Summer,1,1,0,2
Ecuador,Winter,0,0,0,0
Egypt,Summer,7,9,10,26
Egypt,Winter,0,0,0,0
Eritrea,Summer,0,0,1,1
Eritrea,Winter,0,0,0,0
Estonia,Summer,9,9,15,33
Estonia,Winter,4,2,1,7
Ethiopia,Summer,21,7,17,45
Ethiopia,Winter,0,0,0,0
Finland,Summer,101,84,117,302
Finland,Winter,42,62,57,161
France,Summer,202,223,246,671
France,Winter,31,31,47,109
Gabon,Summer,0,1,0,1
Gabon,Winter,0,0,0,0
Georgia,Summer,6,5,14,25
Georgia,Winter,0,0,0,0
Germany,Summer,174,182,217,573
Germany,Winter,78,78,53,209
United Team of Germany,Summer,28,54,36,118
United Team of Germany,Winter,8,6,5,19
East Germany,Summer,153,129,127,409
East Germany,Winter,39,36,35,110
West Germany,Summer,56,67,81,204
West Germany,Winter,11,15,13,39
Ghana,Summer,0,1,3,4
Ghana,Winter,0,0,0,0
Great Britain,Summer,236,272,272,780
Great Britain,Winter,10,4,12,26
Greece,Summer,30,42,39,111
Greece,Winter,0,0,0,0
Grenada,Summer,1,0,0,1
Grenada,Winter,0,0,0,0
Guatemala,Summer,0,1,0,1
Guatemala,Winter,0,0,0,0
Guyana,Summer,0,0,1,1
Guyana,Winter,0,0,0,0
Haiti,Summer,0,1,1,2
Haiti,Winter,0,0,0,0
Hong Kong,Summer,1,1,1,3
Hong Kong,Winter,0,0,0,0
Hungary,Summer,167,144,165,476
Hungary,Winter,0,2,4,6
Iceland,Summer,0,2,2,4
Iceland,Winter,0,0,0,0
India,Summer,9,6,11,26
India,Winter,0,0,0,0
Indonesia,Summer,6,10,11,27
Indonesia,Winter,0,0,0,0
Iran,Summer,15,20,25,60
Iran,Winter,0,0,0,0
Iraq,Summer,0,0,1,1
Iraq,Winter,0,0,0,0
Ireland,Summer,9,8,12,29
Ireland,Winter,0,0,0,0
Israel,Summer,1,1,5,7
Israel,Winter,0,0,0,0
Italy,Summer,198,166,185,549
Italy,Winter,37,34,43,114
Jamaica,Summer,17,30,20,67
Jamaica,Winter,0,0,0,0
Japan,Summer,130,126,142,398
Japan,Winter,10,17,18,45
Kazakhstan,Summer,16,17,19,52
Kazakhstan,Winter,1,3,3,7
Kenya,Summer,25,32,29,86
Kenya,Winter,0,0,0,0
North Korea,Summer,14,12,21,47
North Korea,Winter,0,1,1,2
South Korea,Summer,81,82,80,243
South Korea,Winter,26,17,10,53
Kuwait,Summer,0,0,2,2
Kuwait,Winter,0,0,0,0
Kyrgyzstan,Summer,0,1,2,3
Kyrgyzstan,Winter,0,0,0,0
Latvia,Summer,3,11,5,19
Latvia,Winter,0,4,3,7
Lebanon,Summer,0,2,2,4
Lebanon,Winter,0,0,0,0
Liechtenstein,Summer,0,0,0,0
Liechtenstein,Winter,2,2,5,9
Lithuania,Summer,6,5,10,21
Lithuania,Winter,0,0,0,0
Luxembourg,Summer,1,1,0,2
Luxembourg,Winter,0,2,0,2
Macedonia,Summer,0,0,1,1
Macedonia,Winter,0,0,0,0
Malaysia,Summer,0,3,3,6
Malaysia,Winter,0,0,0,0
